Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5NYwjzQXE8ug35TRHoDeuW,"Air Forces","Air Forces","Mustafa",2020-09-21,178393,41,false,,2023-06-09T23:10:27Z,"","Regent Park Songs",0.53,0.333,6,-15.34,1,0.101,0.895,0.00686,0.14,0.432,174.119,4
spotify:track:70AoG3XAakEgwfRkk3nI54,"Get Better","Re-Arrange Us","Mates of State",2008,207920,33,false,,2023-06-09T23:10:27Z,"","Barsuk Records",0.502,0.795,8,-6.86,1,0.0364,0.0126,0.0633,0.263,0.0818,101.908,4
spotify:track:1QlGmLx0IWNZq8Dm4N94xm,"MYSTERY","MYSTERY","Turnstile",2021-05-26,155199,32,false,,2023-06-09T23:10:27Z,"hardcore punk,hardcore","Roadrunner Records",0.403,0.892,0,-6.244,1,0.0913,0.00374,0.0113,0.882,0.185,163.991,4
spotify:track:4MUvy2JhahEbfpWuGvhqlz,"Stay Alive","Stay Alive","Mustafa",2020-03-11,181372,28,false,,2023-06-09T23:10:27Z,"","Regent Park Songs",0.561,0.182,5,-15.408,1,0.0352,0.905,0.0000202,0.498,0.447,86.092,4
spotify:track:5C1jTWAgK5SjJCbSqZw3G3,"Japanese Waitress","Japanese Waitress","MAITA",2019-09-25,252346,0,false,,2023-06-09T23:10:27Z,"","Kill Rock Stars",0.419,0.193,1,-16.945,0,0.0452,0.862,0.000592,0.113,0.223,137.089,4
spotify:track:3EwQBvOywfJkP4pvobtvHR,"What You're Thinking","Duality","Luna Li",2022-03-04,208908,32,false,,2023-06-09T23:10:27Z,"","In Real Life Music",0.529,0.747,2,-5.788,0,0.0461,0.254,0.0000979,0.187,0.413,116.96,4
spotify:track:5th3rj1nW25bm5iSLiK3i9,"One Day","Epic","Sharon Van Etten",2010-09-21,283573,48,false,,2023-06-09T23:10:27Z,"","Ba Da Bing!",0.596,0.525,4,-6.994,1,0.0283,0.0631,0,0.348,0.469,120.064,4
spotify:track:2pGXCabl4UlMiskwh7evDq,"Cloud 9 (feat. Tegan and Sara)","Cloud 9 (feat. Tegan and Sara)","Beach Bunny,Tegan and Sara",2021-04-16,148207,0,false,,2023-06-09T23:10:27Z,"","Mom+Pop",0.585,0.892,9,-4.466,1,0.0424,0.00108,0,0.281,0.878,161.985,4
spotify:track:0ful4PHfTIxzXiZSZsXQ0H,"Oxford Comma","Vampire Weekend","Vampire Weekend",2008-01-29,195733,62,true,,2023-06-09T23:10:27Z,"indie,baroque pop","XL Recordings",0.692,0.717,0,-4.226,1,0.0498,0.111,0.00123,0.044,0.973,119.902,4
spotify:track:2kVQ8toPB7qxa1Tl3XNuTj,"guts","If I never know you like this again","SOAK",2022-05-20,246906,15,false,,2023-06-09T23:10:27Z,"","Rough Trade",0.435,0.648,0,-13.264,1,0.0523,0.131,0.000195,0.43,0.384,120.067,4
spotify:track:5HS30LO8A8oESDtBKZ83Kf,"Understood","Motherwell","Leith Ross",2020-10-16,301868,36,false,,2023-06-09T23:10:27Z,"","Birthday Cake",0.412,0.0738,10,-14.871,1,0.036,0.835,0,0.0924,0.189,91.687,3
spotify:track:5LGdWLRZFQSmzrVplIYoaz,"Contrast And Compare - Companion Version","Letting Off The Happiness: A Companion","Bright Eyes",2022-05-27,196093,18,false,,2023-06-09T23:10:27Z,"indie folk","Dead Oceans",0.321,0.663,0,-6.451,1,0.0335,0.0831,0.000125,0.316,0.4,139.082,3
spotify:track:4SKvKJaqkRl1bUZWEqTYzl,"Sidelines","Sidelines","Phoebe Bridgers",2022-04-15,264372,71,false,,2023-06-09T23:10:27Z,"","Dead Oceans",0.405,0.544,10,-9.451,1,0.0327,0.524,0.391,0.141,0.0412,179.863,4
spotify:track:0Yr7bkqtRlUrdBFLykgOfd,"Track and Field","Track and Field","Wave Chapelle",2021-03-12,165365,1,true,,2023-06-09T23:10:27Z,"","Wave Chapelle Music LLC.",0.751,0.534,10,-9.532,0,0.229,0.27,0,0.0991,0.386,82.004,4
spotify:track:3j8mwslzqj90yjWWNwwff8,"Bleach","Bleach","Isaac Dunbar",2022-02-18,219026,33,false,,2023-06-09T23:10:27Z,"","RCA Records Label",0.66,0.695,1,-4.197,1,0.0318,0.0638,0,0.213,0.577,113.047,4
spotify:track:0ackndQoetiUOdz3M93m6h,"Big","Dogrel","Fontaines D.C.",2019-04-12,105515,0,false,,2023-06-09T23:10:27Z,"post-punk","PTKF",0.5,0.947,4,-3.602,1,0.0452,0.0454,0,0.212,0.966,181.815,4
